IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP41;IP_PROP29;IP_PROP30;IP_PROP31;IP_PROP40;IP_PROP36;IP_PROP32;IP_PROP42;IP_PROP43;IC_GROUP0;IC_GROUP1;IC_GROUP2
348;Высокотехнологичная медицина в Росатом;348;Y;01.07.2021 12:00:00;;/upload/iblock/fa3/uj4r30m8y2ttrpn02kccf3sose8nsbsw.png;"Семинар ""Высокотехнологичная медицина в Росатом"" под руководством ак. Смирнова В.П.";text;/upload/iblock/fa3/uj4r30m8y2ttrpn02kccf3sose8nsbsw.png;;text;vysokotekhnologichnaya-meditsina-v-rosatom;500;;1;ВНИИТФА, Москва;;;;;;;;;;
349;Управление НИОКР и внедрение инноваций;349;Y;22.07.2021 12:00:00;23.07.2021 18:00:00;/upload/iblock/8d4/r6tqf3jdbxahfgez0ybx05tmwpvoc4jb.png;Международный семинар по управлению НИОКР и внедрению инноваций;text;/upload/iblock/8d4/r6tqf3jdbxahfgez0ybx05tmwpvoc4jb.png;;text;upravlenie-niokr-i-vnedrenie-innovatsiy;500;;1;ЧУ «Наука и инновации», Москва;;;;;;;;;;
350;Современная интерпретация традиционных научных направлений работ предприятия;350;Y;01.09.2021 12:00:00;;/upload/iblock/e5d/nw8mvvzoao5wqid8f13jtjdrgt6eg4qz.png;Научно-практическая конференция «Современная интерпретация традиционных научных направлений работ предприятия»* (посвящена 75-летию предприятия);text;/upload/iblock/e5d/nw8mvvzoao5wqid8f13jtjdrgt6eg4qz.png;;text;sovremennaya-interpretatsiya-traditsionnykh-nauchnykh-napravleniy-rabot-predpriyatiya;500;;1;АО «НИИ НПО ЛУЧ», МО, Подольск;;;;;;;;;;
351;Реакторные материалы атомной энергетики;351;Y;06.09.2021 12:00:00;09.09.2021 18:00:00;/upload/iblock/bfa/kzx5kknayumihbl4eszu7nv91o77akji.png;Межотраслевая научно-техническая конференция «Реакторные материалы атомной энергетики»;text;/upload/iblock/bfa/kzx5kknayumihbl4eszu7nv91o77akji.png;"<p>
	 6-9 сентября 2021 г будет проходить межотраслевая научно-техническая конференция «Реакторные материалы атомной энергетики» в честь 55-летия АО «ИРМ».
</p>
<p>
	 Основные тематические направления конференции:
</p>
<ul>
	<li>Модели, методы и устройства для реакторных испытаний материалов и изделий ядерной техники.</li>
	<li>Исследования материалов и ядерного топлива действующих и инновационных ядерных энергетических установок (БН, ВВЭР, ВВЭР-СКД, ВТГР, ЖСР).</li>
	<li>Обращение с ОЯТ и РАО в процессе всего жизненного цикла ядерных установок различного назначения.</li>
	<li>Методы и технологии для получения радиоактивных изотопов и продуктов на их основе.</li>
	<li>Выбор и экспериментально-расчетное обоснование длительной безопасной эксплуатации материалов космической ядерной энергетики.</li>
</ul>
 Контакты: <br>
 АО «ИРМ», Свердловская обл., г. Заречный <br>
 6-9 сентября 2021 <br>
 Контакты организаторов: Фокина Светлана , <a href=""tel:+73437735222"">8(34377)352-22</a><br>
 <a href=""mailto:irm-ntm@irmatom.ru"">irm-ntm@irmatom.ru</a><br>
 Подробная информация и регистрация на сайте «РЕАКТОРНЫЕ МАТЕРИАЛЫ АТОМНОЙ ЭНЕРГЕТИКИ» | ИРМ (<a href=""http://irm-atom.ru"">irm-atom.ru</a>)";html;reaktornye-materialy-atomnoy-energetiki;500;;1;АО «ИРМ», Свердловская обл.;;;;;;;;;;
352;IGORR-2020 и Техническое совещание МАГАТЭ;352;Y;31.05.2021 12:00:00;04.06.2021 18:00:00;/upload/iblock/e8f/1au97ypn2l5nvnibg6yhlaw5awoi3vv6.png;20-я научно-техническая конференция международной группы по исследовательским реакторам (The International Group on Research Reactors) – IGORR-2020 и Техническое совещание МАГАТЭ по управлению старением, переоборудованием и модернизацией исследовательских реакторов;text;/upload/iblock/e8f/1au97ypn2l5nvnibg6yhlaw5awoi3vv6.png;;text;igorr-2020-i-tekhnicheskoe-soveshchanie-magate;500;;;Онлайн;;;;;;;;;;
353;СТОЙКОСТЬ-2021;353;Y;08.06.2021 13:00:00;09.06.2021 18:00:00;/upload/iblock/92d/zh2nmsl1xd75v2l6r961ulbi0go2z81a.png;"<p>
	 24-я Всероссийская научно-техническая конференция «Радиационная стойкость электронных систем» - «СТОЙКОСТЬ-2021»
</p>
<p>
	 8-9 июня пройдет Всероссийская научно-техническая конференция «Радиационная стойкость электронных систем» - «СТОЙКОСТЬ-2021. Организатор конференции – АО «НИИП».&nbsp;
</p>";html;/upload/iblock/92d/zh2nmsl1xd75v2l6r961ulbi0go2z81a.png;"<p>
	 В программе конференции будут представлены доклады по основным тематическим направлениям проведения испытаний электронной компонентной базы и радиоэлектронной аппаратуры на радиационную стойкость.
</p>
<p>
	 Тематика конференции включает следующие направления:
</p>
<ul>
	<li>Внешние радиационные условия эксплуатации изделий электронной техники, электротехники и аппаратуры.</li>
	<li>Радиационные и электромагнитные эффекты в изделиях радиоэлектроники, механизмы деградации параметров, отказы, одиночные сбои.</li>
	<li>Оценка и обеспечение радиационной стойкости и надежности изделий электронной техники, электротехники, аппаратуры, радиотехнических материалов, в том числе материалов космического назначения.</li>
	<li>Расчётные и экспериментальные методы определения радиационной стойкости изделий.</li>
	<li>Испытательные установки, дозиметрическое и метрологическое сопровождение испытаний.</li>
</ul>
<p>
	 Ежегодно в работе конференций принимают участие около 250 специалистов ведущих научно-исследовательских организаций Росатома и Роскосмоса, предприятий оборонных отраслей промышленности, Академии наук, Высшей школы. Программа конференции включает более 150 устных и стендовых докладов по наиболее актуальным тематическим направлениям.
</p>
 Контакты: <br>
 АО «НИИП» г. Лыткарино Московской обл., ул. Ленина, д. 2а, Дворец культуры «Мир».<br>
 8-9 июня <br>
 Улимова Наталья Викторовна начальник отдела управления НТИ и РИД АО «НИИП»<br>
 <a href=""mailto:NVUlimova@niipribor.ru"">NVUlimova@niipribor.ru</a> тел. <a href=""tel:+74952765301"">8-495-276-53-01</a>, доб. 40-31<br>
 Подробная информация на сайте Конференция СТОЙКОСТЬ | <a href=""http://niipriborov.ru"">niipriborov.ru</a>";html;stoykost-2021;500;;;АО «НИИП»;;;;;;;;;;
354;Опыт по использованию МГЦ-20 для моделирования бета-гамма-воздействия на остеклованные РАО;354;Y;14.06.2021 12:00:00;14.06.2021 18:00:00;/upload/iblock/dc1/bep2cemhf58cs0t3c0xuj1illi975ih4.png;Семинар «Опыт по использованию МГЦ-20 для моделирования бета-гамма-воздействия на остеклованные РАО»;text;/upload/iblock/dc1/bep2cemhf58cs0t3c0xuj1illi975ih4.png;;text;opyt-po-ispolzovaniyu-mgts-20-dlya-modelirovaniya-beta-gamma-vozdeystviya-na-osteklovannye-rao;500;;;АО «Радиевый институт», СПб;;;;;/upload/video/10000000_617505899220544_2824440162177363911_n.mp4;;;;;
355;Изотопно-геохимические методы поиска критически важного минерального сырья;355;Y;21.06.2021 10:00:00;;/upload/iblock/6f3/f7ivuu0qmsk5326v7743nemd557ns8l9.png;Семинар «Изотопно-геохимические методы поиска критически важного минерального сырья»;text;/upload/iblock/6f3/f7ivuu0qmsk5326v7743nemd557ns8l9.png;;text;izotopno-geokhimicheskie-metody-poiska-kriticheski-vazhnogo-mineralnogo-syrya;500;;;АО «Радиевый институт», СПб;;;;;;;;;;
356;Внедрение новых диагностических и лечебных РФП;356;Y;23.06.2021 12:00:00;;/upload/iblock/988/my2y9w721l2vfcwvra0fvx0wggj7551i.png;Межотраслевой семинар по внедрению новых диагностических и лечебных РФП;text;/upload/iblock/988/my2y9w721l2vfcwvra0fvx0wggj7551i.png;;text;vnedrenie-novykh-diagnosticheskikh-i-lechebnykh-rfp;500;;;ЧУ «Наука и инновации», Москва;;;;;;;;;;
357;Актуальные научные направления в производстве радионуклидов медицинского назначения;357;Y;25.06.2021 12:00:00;;/upload/iblock/2a4/fhbrayzhfjxvxzdnffy7vxhwxquclwsh.png;Семинар «Актуальные научные направления в производстве радионуклидов медицинского назначения»;text;/upload/iblock/2a4/fhbrayzhfjxvxzdnffy7vxhwxquclwsh.png;;text;aktualnye-nauchnye-napravleniya-v-proizvodstve-radionuklidov-meditsinskogo-naznacheniya;500;;;АО «Радиевый институт», СПб;;;;;;;;;;
